KEY_FOR_TRANSLATOR	English	Arabic	Chinese Simplified	Chinese Traditional	Danish	Dutch	Finnish	French	German	Hindi (India)	Indonesian	Italian	Japanese	Korean	Malay	Norwegian	Polish	Portuguese (Brazil)	Russian	Spanish	Swedish	Thai	Turkish	Vietnamese
MakeBadTaps	Make _VALUE_ bad (red) taps	تنفيذ _VALUE_ ضغطات سيئة (حمراء)	完成 _VALUE_ 个糟糕的（红色）点触	達成 _VALUE_ 次糟糕評價（紅色）點擊	Lav _VALUE_ dårlige (røde) tryk	Maak _VALUE_ slechte (rode) tikken	Napauta huonosti (punainen) _VALUE_ kertaa	Réalisez _VALUE_ mauvaises touches (rouge)	Mache _VALUE_ schlechte (rote) Tipper	_VALUE_ बुरे (लाल) टैप बनाएं	Melakukan _VALUE_ ketukan buruk (merah)	Esegui _VALUE_ tocchi pessimi (rossi)	_VALUE_回バッド（赤）タップを行う	_VALUE_ 나쁜(빨간색) 탭하기	Buat _VALUE_ ketikan teruk (merah)	Gjør _VALUE_ dårlige (røde) trykk	Wykonaj złe (czerwone) stuknięcia: _VALUE_	Faça _VALUE_ toques ruins (vermelhos)	Сделать _VALUE_ плохих (красных) нажатий	Hacer _VALUE_ toques malos (rojo)	Gör _VALUE_ dåliga (röda) klick	แตะให้ได้ _VALUE_ แย่ (สีแดง)	_VALUE_ kötü (kırmızı) dokunuş yap	Thực hiện _VALUE_ cú nhấp kém (đỏ)
MakeMediumTaps	Make _VALUE_ medium (orange) taps	تنفيذ _VALUE_ ضغطات متوسطة (برتقالية)	完成 _VALUE_ 个适中的（橙色）点触	達成_VALUE_ 次尚可評價（橘色）點擊	Lav _VALUE_ mellem (orange) tryk	Maak _VALUE_ middelmatige (oranje) tikken	Napauta menettelevästi (oranssi) _VALUE_ kertaa	Réalisez _VALUE_ touches moyennes (orange)	Mache _VALUE_ mittlere (orange) Tipper	_VALUE_ मध्यम (नारंगी) टैप बनाएं	Melakukan _VALUE_ ketukan sedang (oranye)	Esegui _VALUE_ tocchi medi (arancioni)	_VALUE_回ミディアム（オレンジ）タップを行う	_VALUE_ 중간(오렌지색) 탭하기	Buat _VALUE_ ketikan sederhana (jingga)	Gjør _VALUE_ middels (oransje) trykk	Wykonaj średnie (pomarańczowe) stuknięcia: _VALUE_	Faça _VALUE_ toques médios (laranjas)	Сделать _VALUE_ средних (оранжевых) нажатий	Hacer _VALUE_ toques regulares (naranja)	Gör _VALUE_ medelbra (orange) klick	แตะให้ได้ _VALUE_ กลาง (สีส้ม)	_VALUE_ orta (turuncu) dokunuş yap	Thực hiện _VALUE_ cú nhấp trung bình (cam)
MakeJumps	Make _VALUE_ jumps	تنفيذ _VALUE_ قفزات	完成 _VALUE_ 次跳跃	達成_VALUE_ 次跳躍	Lav _VALUE_ hop	Maak _VALUE_ sprongen	Hyppää _VALUE_ kertaa	Réalisez _VALUE_ sauts	Mache _VALUE_ Sprünge	_VALUE_ जंप बनाएं	Melakukan _VALUE_ lompatan	Fai _VALUE_ salti	_VALUE_回ジャンプする	_VALUE_ 점프하기	Buat _VALUE_ lompatan	Gjør _VALUE_ hopp	Wykonaj skoki: _VALUE_	Faça _VALUE_ pulos	Сделать _VALUE_ прыжков	Hacer _VALUE_ saltos	Gör _VALUE_ hopp	กระโดดให้ได้ _VALUE_	_VALUE_ sıçrama yap	Thực hiện _VALUE_ cú nhảy
MakeTeleports	Make _VALUE_ teleports	تنفيذ _VALUE_ انتقالات	完成 _VALUE_ 次远程传送	達成_VALUE_ 次穿越	Lav _VALUE_ teleporteringer	Maak _VALUE_ teleportaties	Teleporttaa _VALUE_ kertaa	Effectuez _VALUE_ téléportations	Benutze _VALUE_ Teleporter	_VALUE_ टेलीपोर्ट बनाएं	Melakukan _VALUE_ teleportasi	Esegui _VALUE_ teletrasporti	_VALUE_回テレポートする	_VALUE_ 순간이동 하기	Buat _VALUE_ teleport	Gjør _VALUE_ teleporteringer	Wykonaj teleportacje: _VALUE_	Faça _VALUE_ teletransportes	Сделать _VALUE_ телепортаций	Hacer _VALUE_ teletransportes	Gör _VALUE_ teleporteringar	เทเลพอร์ตให้ได้ _VALUE_	_VALUE_ ışınlama yap	Tạo _VALUE_ cổng viễn thông
BESTDEAL	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	NAJLEPSZA OFERTA!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!
UseHeadphonesForTheBestExperience	Use headphones for the best experience!	استخدم سماعة رأس لأفضل تجربة لعب!	请使用耳机，享受最佳体验！	使用耳機以獲得最佳體驗！	Brug høretelefoner for den bedste oplevelse!	Gebruik een koptelefoon voor de best mogelijke ervaring!	Parhaan kokemuksen saat, kun käytät kuulokkeita!	Utilisez des écouteurs pour profiter pleinement de l'expérience !	Benutze die Kopfhörer für ein optimales Erlebnis!	सर्वोत्तम अनुभव के लिए हेडफोन का प्रयोग करें!	Gunakan peranti dengar untuk pengalaman terbaik!	Usa le cuffie per una migliore esperienza!	最高のエクスペリエンスを楽しむにはヘッドホンを使用しましょう！	최고의 경험을 위해 헤드폰을 사용하세요!	Gunakan fon kepala untuk pengalaman terbaik!	Bruk hodetelefoner for å få den beste opplevelsen mulig!	Gra jest najlepsza w słuchawkach!	Use fones de ouvido para obter a melhor experiência!	Для максимального удовольствия используйте наушники!	¡Utiliza cascos para disfrutar de la mejor experiencia!	Använd hörlurar för bästa möjliga spelupplevelse!	ใช้หูฟังเพื่อประสบการณ์ที่ดีที่สุด!	En iyi deneyim için kulaklık kullan!	Hãy sử dụng tai nghe để có trải nghiệm tốt nhất!
PayAttentionToTheMusic	Pay attention to the music!	انتبه للموسيقى!	留意音乐！	留意音樂！	Vær opmærksom på musikken!	Luister goed naar de muziek!	Keskity musiikkiin!	Écoutez attentivement la musique !	Achte auf die Musik!	संगीत पर ध्यान दें!	Perhatikan musiknya!	Presta attenzione alla musica!	音楽に耳を傾けましょう！	음악을 잘 들으세요!	Beri perhatian kepada muzik!	Følg med på musikken!	Zwracaj uwagę na muzykę!	Preste atenção na música!	Не забывайте о музыке!	¡Presta atención a la música!	Lyssna på musiken!	ตั้งใจฟังเพลงให้ดี!	Müziğe dikkat et!	Hãy chú ý đến âm nhạc!
PlayWithTheMusicOn	Play with the music on!	تأكد من تمكين الموسيقى!	开启音乐，尽情畅玩！	開著音樂來玩吧！	Spil med musikken på!	Speel met de muziek aan!	Pelaa musiikki päällä!	Jouez en musique !	Spiele und lass die Musik laufen!	गाने के साथ खेलें!	Putar dengan musik dinyalakan!	Gioca con la musica attiva!	音楽をオンにしてプレイしましょう！	음악을 켜고 플레이하세요!	Bermain dengan muzik dihidupkan!	Spill med musikken på!	Graj z włączoną muzyką!	Jogue com a música ligada!	Воспроизвести с музыкой!	¡Juega con la música activada!	Spela med musiken på!	เล่นพร้อมเสียงเพลง!	Müziğin sesi açıkken oyna!	Hãy chơi với âm nhạc bật lên!
ThisGameIsMadeToBePlayedWithTheMusicOn	This game is made to be played with the music on!	هذه اللعبة مصممة لتلعبها مع الموسيقى!	此游戏时须开启音乐！	此遊戲配合音樂一起會更好玩！	Dette spil er lavet til at blive spillet med musikken på!	Dit spel is gemaakt om gespeeld te worden met de muziek aan!	Tämä peli on tarkoitettu pelattavaksi musiikki päällä!	Ce jeu se joue en musique !	Dieses Spiel wurde gemacht, um es mit Musik zu spielen!	यह गेम गाने के साथ खेलने के लिए बना है!	Game ini dibuat untuk dimainkan dengan musik dinyalakan!	Questo gioco è concepito per essere giocato con la musica attiva!	このゲームは音楽をオンにした状態でプレイするようにデザインされています！	이 게임은 음악을 켜고 하도록 제작되었습니다!	Permainan ini dibuat untuk dimainkan dengan muzik dihidupkan!	Spillet er laget for å spilles med musikken på!	W tę grę należy grać z włączoną muzyką!	Este jogo foi criado para ser jogado com a música ligada!	Игра создана, чтобы наслаждаться ею с музыкой!	¡Este juego está hecho para jugarlo con la música activada!	Det här spelet är gjort för att spelas med musiken på!	เกมนี้ออกแบบมาให้เล่นพร้อมเสียงเพลง!	Bu oyun, müziğin sesi açıkken oynanmak üzere hazırlanmıştır!	Trò chơi này được tạo ra để chơi với âm nhạc bật lên!
ForBetterExperienceSetUpTheRightvolume	For better experience set up the right volume!	اختر مستوى صوت مناسب لتجربة لعب أفضل!	为拥有更理想体验，请调整至适当音量！	設置合適的音量以獲得更佳體驗！	Indstil lydstyrken for at forbedre oplevelsen!	Stel het juiste volume in voor de best mogelijke ervaring!	Saat paremman kokemuksen, kun äänenvoimakkuus on sopiva!	Pour profiter pleinement de cette expérience, définissez le niveau d'intensité sonore !	Für eine besseres Spielerlebnis muss du die richtige Lautstärke wählen!	बेहतर अनुभव के लिए सही वॉल्यूम निर्धारित करें!	Untuk pengalaman yang lebih baik atur volume yang tepat!	Per una migliore esperienza, imposta il volume giusto!	より良いエクスペリエンスを楽しむには、音量を適切に設定しましょう！	보다 나은 경험을 위해 음악을 적절한 볼륨으로 맞추세요!	Untuk pengalaman yang lebih baik, sediakan kelantangan yang betul!	Skru opp lyden for å få en bedre opplevelse!	Dla lepszego doświadczenia, ustaw odpowiedni poziom głośności!	Para uma melhor experiência, defina um volume adequado!	Для максимального удовольствия выберите нужную громкость!	¡Configura el volumen adecuado para disfrutar de una mejor experiencia!	Ställ in rätt volym för bästa möjliga spelupplevelse!	ปรับระดับความดังให้เหมาะเพื่อประสบการณ์ที่ดีขึ้น!	Daha iyi bir deneyim için doğru ses seviyesini ayarla!	Để có trải nghiệm tốt hơn, hãy cài đặt âm lượng phù hợp!
ListenTapFeelTheMusic	Listen, Tap & Feel The Music…	اسمع، أنقر و أشعر بالموسيقى...	聆听、点击并感受音乐……	聆聽、點按、感受音樂…	Lyt, tryk og mærk musikken...	Luister, tik & voel de muziek...	Kuuntele, napauttele ja tunne musiikki...	Écoutez, touchez, et ressentez la musique...	Zuhören, tippen & die Musik spüren...	सुनें, टैप करें और संगीत को अनुभव करें...	Dengarkan, Ketuk, & Rasakan Musiknya...	Ascolta, tocca e senti la musica...	聴いてタップして音楽を体感…	음악을 듣고, 탭하고 느껴보세요...	Dengar, Ketik & Rasai Muziknya...	Lytt, trykk og føl musikken …	Słuchaj, stukaj i poczuj muzykę...	Ouça, toque e sinta a música...	Слушайте, нажмите и чувствуйте музыку…	Escucha,pulsa y siente la música...	Lyssna, klicka och känn musiken...	ฟัง แตะ และสัมผัสเสียงดนตรี...	Dinleyin, Dokunun ve Müziği Hissedin...	Nghe, Gõ nhẹ & Cảm nhận Âm nhạc…
ExploringMultipleLevels	...Exploring Multiple Levels  	...جاري اكتشاف المستويات المتعددة	……探索多重关卡 	…探索不同層次	...Udforsk flere baner 	Ontdek alle levels 	...tutki useita tasoja 	... Explorez de multiples niveaux 	...zahlreiche Level erforschen 	...कई सारे लेवल एक्सप्लोर किए जा रहे हैं 	...Menjelajahi Berbagai Level 	... esplorando diversi livelli 	…複数のレベルを探索 	...여러 레벨 탐험 	...Menerokai Berbilang Tahap 	… mens du utforsker flere nivåer 	...Poznając wiele poziomów 	...Explorando vários níveis 	...проходите множество уровней 	...explorando varios niveles 	... utforska olika nivåer 	...สำรวจเลเวลต่างๆ	... Çok Sayıda Seviyeyi Keşfedin 	...Khám phá Nhiều Cấp độ  
WithUnpredictableTwistsTurns	… With Unpredictable Twists & Turns	...بإلتوائات و متاهات مفاجئة	……直面难以预测的波折	…難以預料的扭動和轉向	...Med uforudsigelige hændelser	... Met onvoorspelbare wendingen	... ja koe odottamattomia käänteitä	... aux pièges imprévisibles	... mit nicht vorhersehbaren Drehungen und Wendungen	... अप्रत्याशित मोड़ और घुमाव के साथ	... Dengan Kejutan & Perubahan Tak Terduga	... con svolte e curve impreviste	…予測不可能な曲がりくねり	... 예측할 수 없는 변화	... Dengan Liku-liku Yang Tidak Dapat Diramal	… med uforutsigbare svinger hit og dit	... Z nieprzewidywalnymi zwrotami i skrętami	... Com torções e giros imprevisíveis	… с непредсказуемыми поворотами	... con inesperados giros y vueltas	... med oväntade svängar och vändningar	...พร้อมการหักมุมและการเลี้ยวที่ไม่สามารถคาดเดาได้	...Beklenmeyen Dönüşleri ve Virajları Aşın	… Với các Khúc cua & Sự đổi hướng Không thể dự đoán được
PoweredByAnAwesomeSoundtrack	… Powered by An Awesome Soundtrack!	...مدعومة بموسيقى رائعة!	……欣赏好听的配乐！	…配上精彩的原聲配樂！	...Med et fremragende soundtrack!	... En aangedreven door een meeslepende soundtrack!	... mahtavan ääniraidan tahtiin!	... tout en écoutant une bande sonore exceptionnelle !	... angetrieben von einem tollen Soundtrack!	... एक लाजवाब साउंडट्रैक के साथ मजबूत!	... Didukung dengan Soundtrack Keren!	... con l'aggiunta di una fantastica colonna sonora!	…素晴らしいサウンドトラック登載！	... 멋진 사운드 트랙으로 인한 동력!	... Dikuasakan oleh Runut Bunyi Menakjubkan!	… drevet av et fantastisk lydspor!	... Do rytmu niesamowitej ścieżki dźwiękowej!	… Acionados por uma trilha sonora incrível!	… и все это под великолепную музыку!	… ¡impulsado por una estupenda banda sonora!	... styrda av härlig musik	...สนับสนุนโดยซาวด์แทรคสุดเจ๋ง	...Harika Oyun Müziğinin Keyfini Çıkarın!	… Được hỗ trợ bằng Nhạc phim Tuyệt vời!
TapToTheBeat	Tap To The Beat	أنقر على الإيقاع	随着节奏点击	跟著節奏點按	Tryk til beatet	Tik op de maat	Napauttele musiikin tahtiin	Touchez en rythme	Tippe zum Rhythmus	धुन  के साथ टैप करें	Ketuk sesuai Irama	Tocca a ritmo di musica	ビートに合わせてタップ	박자에 맞춰 탭하기	Ketik Mengikut Rentak	Trykk til rytmen	Stukaj w rytm muzyki	Toque conforme a batida	Нажимайте в такт	Pulsa hasta superarlo	Klicka i takt	แตะไปตามจังหวะดนตรี	Ritme Ayak Uydurun	Tạo nhịp
Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Odblokuj	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock	Unlock
Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Wybierz	Equip	Equip	Equip	Equip	Equip	Equip	Equip
Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Zdejmij	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip	Unequip
DiamondsStore	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Sklep z diamentami	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store	Diamonds Store
WouldYouLikeToRecieveNotification	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Czy chcesz dostawać powiadomienia o nowych misjach i czekających na otwarcie <color=#ffff00ff>skrzynkach</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?	Would you like to recieve new missions notification and get more chances to open <color=#ffff00ff>cool chests</color>?
Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Tak	Yes	Yes	Yes	Yes	Yes	Yes	Yes
No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Nie	No	No	No	No	No	No	No
Language	Language	اللغة	语言	語言	Sprog	Taal	Kieli	Langue	Sprache	भाषा	Bahasa	Lingua	言語	언어	Bahasa	Språk	Język	Idioma	Язык	Idioma	Språk	ภาษา	Dil	Ngôn ngữ
Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Exit	Wyjdź	Exit	Exit	Exit	Exit	Exit	Exit	Exit
DoYouWantToExitTheGame	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Czy chcesz wyjść z gry?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?	Do you want to exit the game?
OpenChest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Otwórz skrzynkę	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest	Open Chest
missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	missions	misje	missions	missions	missions	missions	missions	missions	missions
collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	collect	zbierz	collect	collect	collect	collect	collect	collect	collect
SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	POMIŃ	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP	SKIP
NewMissionsAvailablePlayNowToOpenChestWithGems	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	Nowe misje dostępne! Zagraj, żeby otworzyć skrzynke!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!	New missions available! Play now to open chest with gems!
NewMissionsAvailableIn	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	Nowe misje dostępne za:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:	New missions available in:
Congratulations	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Gratulacje!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!	Congratulations!
DoYouLikeDancingBall	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Czy lubisz grę "Dancing Ball"?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?	Do you like Dancing Ball?
RateMe	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Oceń mnie!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!	Rate Me!
GiveUs5Stars	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Daj nam 5 gwiazdek za <color=#00ff00ff>DARMOWE</color> aktualizacje	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates	Give us 5 stars for <color=#00ff00ff>FREE</color> updates
newHighscore	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	nowy rekord!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!	new highscore!
perfectCombo	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Pełna Seria "perfektów"	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak	Full "Perfect" streak
temporaryUnlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	tymczasowo odblokowany	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked	temporary unlocked
Free	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	FREE	ZA DARMO	FREE	FREE	FREE	FREE	FREE	FREE	FREE
videoAd	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	video ad	reklama	video ad	video ad	video ad	video ad	video ad	video ad	video ad
SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	UDOSTĘPNIJ	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE	SHARE
showLeaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	Pokaż tablicę wyników	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards	show leaderboards
